file,width,height,fps,nb_frames,rotation,display_w,display_h,error
videos\G2\P03\20260725\G2_P03_20260725_impA_005.mp4,1920,1080,29.904,117,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_006.mp4,1920,1080,29.939,117,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_007.mp4,1920,1080,30.006,105,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_008.mp4,1920,1080,29.859,102,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_009.mp4,1920,1080,29.941,104,90,1080,1920,
videos\G2\P03\20260725\G2_P03_20260725_impA_010.mp4,1920,1080,29.96,90,90,1080,1920,
videos\G2\P03\20260803\G2_P03_20260803_impA_001.mp4,1920,1080,30.006,113,90,1080,1920,
videos\G2\P03\20260803\G2_P03_20260803_impA_002.mp4,1920,1080,29.903,102,90,1080,1920,
videos\G2\P03\20260804\G2_P03_20260804_impA_001.mp4,1920,1080,29.994,101,90,1080,1920,
videos\G2\P03\20260804\G2_P03_20260804_impA_002.mp4,1920,1080,30.006,91,90,1080,1920,
videos\G2\P03\20260805\G2_P03_20260805_impA_001.mp4,1920,1080,29.829,95,90,1080,1920,
videos\G2\P03\20260805\G2_P03_20260805_impA_002.mp4,1920,1080,29.706,76,90,1080,1920,
videos\G2\P03\20260805\G2_P03_20260805_impA_003.mp4,1920,1080,29.959,69,90,1080,1920,
videos\G2\P03\20260805\G2_P03_20260805_impA_004.mp4,1920,1080,29.831,94,90,1080,1920,
videos\G2\P04\20260725\G2_P04_20260725_impA_001.mp4,1280,720,24.0,78,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_002.mp4,1280,720,24.0,86,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_003.mp4,1280,720,24.0,87,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_004.mp4,1280,720,24.0,87,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_005.mp4,1280,720,24.0,89,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_006.mp4,1280,720,24.0,86,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_007.mp4,1280,720,24.0,87,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_008.mp4,1280,720,24.0,87,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_009.mp4,1280,720,24.0,89,90,720,1280,
videos\G2\P04\20260725\G2_P04_20260725_impA_010.mp4,1280,720,24.0,86,90,720,1280,
videos\G2\P04\20260730\G2_P04_20260730_impA_001.mp4,1920,1080,30.0,106,90,1080,1920,
videos\G2\P04\20260730\G2_P04_20260730_impA_002.mp4,1920,1080,30.0,90,90,1080,1920,
videos\G2\P04\20260802\G2_P04_20260802_impA_001.mp4,1920,1080,30.0,101,90,1080,1920,
videos\G2\P04\20260802\G2_P04_20260802_impA_002.mp4,1920,1080,30.0,107,90,1080,1920,
videos\G2\P04\20260803\G2_P04_20260803_impA_001.mp4,1920,1080,30.0,109,90,1080,1920,
videos\G2\P04\20260803\G2_P04_20260803_impA_002.mp4,1920,1080,30.0,105,90,1080,1920,
videos\G2\P04\20260804\G2_P04_20260804_impA_001.mp4,1920,1080,30.0,111,90,1080,1920,
videos\G2\P04\20260804\G2_P04_20260804_impA_002.mp4,1920,1080,30.0,107,90,1080,1920,
videos\G2\P04\20260805\G2_P04_20260805_impA_001.mp4,1920,1080,30.0,107,90,1080,1920,
videos\G2\P04\20260805\G2_P04_20260805_impA_002.mp4,1920,1080,30.0,86,90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_001.mp4,1920,1080,30.0,113,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_002.mp4,1920,1080,30.0,148,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_003.mp4,1920,1080,30.0,142,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_004.mp4,1920,1080,30.0,150,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_005.mp4,1920,1080,30.0,120,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_006.mp4,1920,1080,30.0,159,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_007.mp4,1920,1080,30.0,151,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_008.mp4,1920,1080,30.0,163,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_009.mp4,1920,1080,30.0,141,-90,1080,1920,
videos\G2\P05\20260725\G2_P05_20260725_impA_010.mp4,1920,1080,30.0,146,-90,1080,1920,
videos\G2\P05\20260731\G2_P05_20260731_impA_001.mp4,1920,1080,30.0,133,-90,1080,1920,
videos\G2\P05\20260731\G2_P05_20260731_impA_002.mp4,1920,1080,30.0,126,-90,1080,1920,
videos\G2\P05\20260801\G2_P05_20260801_impA_001.mp4,1920,1080,30.0,151,-90,1080,1920,
videos\G2\P05\20260801\G2_P05_20260801_impA_002.mp4,1920,1080,30.0,157,-90,1080,1920,
videos\G2\P05\20260802\G2_P05_20260802_impA_001.mp4,1920,1080,30.0,157,-90,1080,1920,
videos\G2\P05\20260802\G2_P05_20260802_impA_002.mp4,1920,1080,30.0,168,-90,1080,1920,
videos\G2\P05\20260803\G2_P05_20260803_impA_001.mp4,1920,1080,30.0,149,-90,1080,1920,
videos\G2\P05\20260803\G2_P05_20260803_impA_002.mp4,1920,1080,30.0,137,-90,1080,1920,
videos\G2\P05\20260804\G2_P05_20260804_impA_001.mp4,1920,1080,30.0,144,-90,1080,1920,
videos\G2\P05\20260804\G2_P05_20260804_impA_002.mp4,1920,1080,30.0,129,-90,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_001.mp4,1920,1080,29.959,94,0,1920,1080,
videos\G2\P06\20260725\G2_P06_20260725_impA_002.mp4,1080,1920,29.959,99,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_003.mp4,1080,1920,29.959,90,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_004.mp4,1080,1920,29.942,96,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_005.mp4,1080,1920,29.959,91,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_006.mp4,1920,1080,29.851,69,0,1920,1080,
videos\G2\P06\20260725\G2_P06_20260725_impA_007.mp4,1080,1920,29.959,84,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_008.mp4,1080,1920,29.958,91,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_009.mp4,1080,1920,29.958,87,0,1080,1920,
videos\G2\P06\20260725\G2_P06_20260725_impA_010.mp4,1080,1920,29.852,70,0,1080,1920,
videos\G3\P01\20260725\G3_P01_20260725_impA_001.mp4,1920,1080,29.93,132,90,1080,1920,
videos\G3\P01\20260725\G3_P01_20260725_impA_002.mp4,1920,1080,29.848,154,90,1080,1920,
videos\G3\P01\20260725\G3_P01_20260725_impA_003.mp4,1920,1080,30.236,129,90,1080,1920,
videos\G3\P01\20260725\G3_P01_20260725_impA_004.mp4,1920,1080,30.006,118,90,1080,1920,
