target_user,registered_gesture,category,sample_index,performer,performed_gesture,session,role,hand,imitation_target,gesture_score,user_score,gesture_pass,user_pass,accepted
P08,G5,same_gesture_impostor,1910,P10,G5,20260819,impA,L,P05,0.9609807118451188,0.4266594698344066,1,0,0
P08,G5,same_gesture_impostor,1911,P10,G5,20260819,impA,L,P05,0.9614468577516692,0.4535888377536217,1,0,0
P08,G5,same_gesture_impostor,1912,P10,G5,20260819,impA,L,P05,0.9733184107351199,0.8071986451676093,1,0,0
P08,G5,same_gesture_impostor,1913,P10,G5,20260820,impA,L,P05,0.9707683944504193,0.5866128144023265,1,0,0
P08,G5,same_gesture_impostor,1914,P10,G5,20260820,impA,L,P05,0.9777834027670197,0.7057450051916243,1,0,0
P08,G5,same_gesture_impostor,1915,P10,G5,20260820,impA,L,P05,0.9705447024099914,0.7650800805526794,1,0,0
P08,G5,same_gesture_impostor,1916,P10,G5,20260820,impA,L,P05,0.9634117027198813,0.4339942527716545,1,0,0
P08,G5,same_gesture_impostor,1917,P10,G5,20260821,impA,L,P05,0.9721356040710404,0.5359791021636333,1,0,0
P08,G5,same_gesture_impostor,1918,P10,G5,20260821,impA,L,P05,0.9699115299343166,0.7927855582849874,1,0,0
P08,G5,same_gesture_impostor,1919,P10,G5,20260821,impA,L,P05,0.9738860465469251,0.9793409840306236,1,1,1
P08,G5,same_gesture_impostor,1920,P10,G5,20260821,impA,L,P05,0.9638365243999789,0.39835472900488544,1,0,0
P08,G5,same_gesture_impostor,1921,X02,G5,20260815,impA,R,P05,0.9649476949114739,-0.020569710623139476,1,0,0
P08,G5,same_gesture_impostor,1922,X02,G5,20260815,impA,R,P05,0.9736106551034939,-0.006436225673561995,1,0,0
P08,G5,same_gesture_impostor,1923,X03,G5,20260814,impA,R,P05,0.99040137270816,0.8429850476591001,1,1,1
P08,G5,same_gesture_impostor,1924,X03,G5,20260814,impA,R,P05,0.9819653023280825,0.6958839877762533,1,0,0
P08,G5,same_gesture_impostor,1925,X04,G5,20260817,impA,R,P05,0.9751453679304468,0.4798733170050111,1,0,0
P08,G5,same_gesture_impostor,1926,X04,G5,20260817,impA,R,P05,0.9828295857290582,0.3692047916312965,1,0,0
P08,G5,same_gesture_impostor,1927,X05,G5,20260813,impA,L,P05,0.9660552539518414,0.19789953855049697,1,0,0
P08,G5,same_gesture_impostor,1928,X05,G5,20260813,impA,L,P05,0.9659607088582243,0.1551563519675601,1,0,0
P08,G5,same_gesture_impostor,1929,X06,G5,20260813,impA,L,P05,0.941460352137408,0.301866329465746,1,0,0
P08,G5,same_gesture_impostor,1930,X06,G5,20260813,impA,L,P05,0.9454346601982905,0.22228963544386976,1,0,0
P08,G5,same_gesture_impostor,1931,X07,G5,20260813,impA,L,P05,0.9804556705875682,0.2925882596459809,1,0,0
P08,G5,same_gesture_impostor,1932,X07,G5,20260813,impA,L,P05,0.8386684831047511,0.8274250703153664,0,1,0
P08,G5,same_gesture_impostor,1933,X08,G5,20260813,impA,L,P05,0.7310620824139153,0.5119432993164739,0,0,0
P08,G5,same_gesture_impostor,1934,X08,G5,20260813,impA,L,P05,0.8420670268790167,0.558130248280586,0,0,0
P08,G5,same_gesture_impostor,1935,X09,G5,20260814,impA,R,P05,0.9795450164407667,0.43353318995257717,1,0,0
P08,G5,same_gesture_impostor,1936,X09,G5,20260814,impA,R,P05,0.973469285140824,0.4557478393005031,1,0,0
P08,G5,same_gesture_impostor,1937,X10,G5,20260814,impA,R,P05,0.9519160308597993,0.9230569866863603,1,1,1
P08,G5,same_gesture_impostor,1938,X10,G5,20260814,impA,R,P05,0.9509165661037959,0.9076294941054458,1,1,1
P08,G5,same_gesture_impostor,1939,X11,G5,20260814,impA,R,P05,0.8234828790482558,-0.3396794433021862,0,0,0
P08,G5,same_gesture_impostor,1940,X11,G5,20260814,impA,R,P05,0.9679889559545881,0.5139300684026689,1,0,0
P08,G5,same_gesture_impostor,1941,X12,G5,20260814,impA,R,P05,0.9849095547094743,0.620261021210023,1,0,0
P08,G5,same_gesture_impostor,1942,X12,G5,20260814,impA,R,P05,0.9849749857590578,0.5636075100322866,1,0,0
P08,G5,same_gesture_impostor,1943,X13,G5,20260814,impA,R,P05,0.972089087089011,0.9358014850718102,1,1,1
P08,G5,same_gesture_impostor,1944,X13,G5,20260814,impA,R,P05,0.621468215617896,0.7929575080395563,0,0,0
P08,G5,same_gesture_impostor,1945,X14,G5,20260814,impA,R,P05,0.9644368061854521,0.14197791317773834,1,0,0
P08,G5,same_gesture_impostor,1946,X14,G5,20260814,impA,R,P05,0.9620371920445441,0.2102300379149662,1,0,0
P08,G5,same_gesture_impostor,1947,X15,G5,20260814,impA,R,P05,0.9786238888250383,0.8085221775980289,1,0,0
P08,G5,same_gesture_impostor,1948,X15,G5,20260814,impA,R,P05,0.9724898892844887,0.4907277513706401,1,0,0
P08,G5,same_gesture_impostor,1949,X16,G5,20260814,impA,R,P05,0.9454367209206364,0.10626245745559401,1,0,0
P08,G5,same_gesture_impostor,1950,X16,G5,20260814,impA,R,P05,0.9257399102615542,0.00955115583479662,0,0,0
P08,G5,same_gesture_impostor,1951,X17,G5,20260814,impA,R,P05,0.9736457674793972,0.5124934592094174,1,0,0
P08,G5,same_gesture_impostor,1952,X17,G5,20260814,impA,R,P05,0.9791806940497754,0.537957731110615,1,0,0
P08,G5,same_gesture_impostor,1953,X18,G5,20260814,impA,R,P05,0.9376683122311362,0.8714974615172268,1,1,1
P08,G5,same_gesture_impostor,1954,X18,G5,20260814,impA,R,P05,0.9636219752001212,0.3617187649126562,1,0,0
